kod_consumer;name_consumer;kod_grp;kod_seti;kod_rem;kod_otr;kod_podotr
72741200;Літинська ВК - 123;412;7;727;52;52
72773000;Райавтодор;730;7;727;36;63
72773001;"Філія ""Він.дор.експл.д-ця";730;7;727;36;63
72773002;ннн;730;7;727;45;66
72789900;"ТОВ ""Видавництво""Поділля""";899;7;727;52;52
72789901;"ТОВ ""Інтер-Лауд""";899;7;727;29;62
72789902;ЛАЙФ ІНВЕСТ;899;7;727;44;44
72789903;ФОП Мукомел М.В. ;899;7;727;50;67
72789920;"ТОВ ""Ферко""";899;7;727;50;67
72801100;Власне споживання;11;7;728;10;10
72801200;Корисний відпуск;12;7;728;17;17
72801600;Виробничі потреби;16;7;728;16;16
72801700;Втрати в мережах;17;7;728;15;15
72803200;Освітлення;32;7;728;52;52
72803300;"ДП ""М.Кур. водоканл""";33;7;728;50;51
72804000;Сільгоспспоживачі;40;7;728;44;44
72804001;"ФГ ""В.Ольчедаївське""";40;7;728;44;44
72804002;"ТОВ ""Довіра""";40;7;728;44;44
72804003;"ПП ""Бонас""";40;7;728;44;44
72804004;"ФГ ""Олімп""";40;7;728;44;44
72804005;"ТОВ ""Агрофірма Рубанський";40;7;728;44;44
72804006;"ТОВ ""МТС Агромаш""";40;7;728;44;44
72804007;"ФГ ""Велес Віта""";40;7;728;44;44
72804008;"СФГ ""Рубін""";40;7;728;44;44
72814500;"ФОП ""Сопов""";145;7;728;29;62
72814501;"ТОВ ""Будсервіс""";145;7;728;49;49
72815200;Мур.Кур. цегельний з-д;152;7;728;36;63
72815300;"ПП ""Дружба народів""";153;7;728;44;44
72830000;"ТОВ ""Мрія""";300;7;728;44;44
72830001;"ПрАТ ""Завод ""Регіна""";300;7;728;41;65
72830002;"ТОВ ""Райсільгоспкомунгосп";300;7;728;44;44
72830003;"ТОВ МТС ""Агромаш""";300;7;728;29;62
72830004;"ТОВ ""ВІНТОР""";300;7;728;29;62
72830005;ККП;300;7;728;43;43
72833600;"ТзОВ ""Котюжани Зерно"" ХПП";336;7;728;43;43
72835700;"ПП ""Шана""";357;7;728;52;52
72835701;"ВАТ ""Укртелеком"" ВФ";357;7;728;52;52
72838200;"ТОВ ""ТД ""Агроімпорт ЛТД""";382;7;728;29;62
72870100;"ПП ""Скрипник І.К.""";701;7;728;52;52
72873000;Райавтодор;730;7;728;45;66
72889900;Михайлів.проф.аграр.ліц. ;899;7;728;52;52
72889901;ЦРЛ;899;7;728;52;52
72889902;"ПП""Дружба""";899;7;728;52;52
72889903;"ТОВ""Обрій""";899;7;728;44;44
72889904;Районний відділ освіти;899;7;728;50;67
73101100;Власне споживання;11;7;731;10;10
73101200;Корисний відпуск;12;7;731;17;17
73101600;Виробничі потреби;16;7;731;16;16
73101700;Втрати в мережах;17;7;731;15;15
73103101;ФОП Ніконюк С.С.;31;7;731;50;67
73103200;Освітлення і побут;32;7;731;52;52
73103300;Гніваньводопостач;33;7;731;50;67
73103301;ннн;33;7;731;50;51
73104000;Сільгоспспоживачі;40;7;731;44;44
73104001;"ТОВ ""Поділлякорсервіс""";40;7;731;44;44
73104002;"ТОВ ""Агро Інвест Україна""";40;7;731;44;44
73104003;"ПСП ""Україна""";40;7;731;44;44
73104004;"СТОВ ""Поділля""";40;7;731;44;44
73104008;"СТОВ ""Обрій""";40;7;731;44;44
73104009;"ТОВ ""Агро -Еталон""";40;7;731;44;44
73104010;"ТОВ ""Агрокомплекс""";40;7;731;44;44
