kod_consumer	name_consumer	kod_grp	kod_seti	kod_rem	kod_otr	kod_podotr
72190004	ВНМУ ім.Пирогова	899	7	721	50	67
72190012	"ТОВ ""Аграна Джус Україна"""	899	7	721	41	65
72190013	"ПАТ ВМЗ ""Рошен"""	899	7	721	41	65
72201100	ВЛАСНЕ СПОЖИВАННЯ	11	7	722	10	10
72201200	НЕТТО	12	7	722	17	17
72201700	Втрати в мережах	17	7	722	15	15
72203100	КП Теплоенергетик	31	7	722	50	51
72203200	Освітлення, побут	32	7	722	52	52
72204000	Сільгоспспоживачі	40	7	722	44	44
72214100	"ВАТ ""Машзавод ім. Кірова"""	141	7	722	29	62
72215201	"ТОВ ""Вендичанський цегель"	152	7	722	36	63
72230005	"ВАТ ""Консервний завод"""	300	7	722	41	65
72230006	Мог.Под.молокозавод	300	7	722	41	65
72235700	Ямпільське упрр.водн госп	357	7	722	52	52
72289901	Мог.Под.ВК-114	899	7	722	52	52
72289904	Монтажний технікум 	899	7	722	52	52
72301100	Власне споживання	11	7	723	10	10
72301200	Корисний відпуск	12	7	723	17	17
72301700	Втрати в мережах	17	7	723	15	15
72301800	Виробничі потреби	18	7	723	16	16
72303200	Освітлення , побут	32	7	723	52	52
72303300	"КВУВКГ""Барводоканал"""	33	7	723	50	51
72304000	Сільгоспспоживачі	40	7	723	44	44
72310400	БАР ЛВУМГ КС - 19,КС - 37	104	7	723	45	48
72310401	"БАР КС - 37 ""Б"""	104	7	723	45	48
72314400	"ПАТ ""Барський машзавод"""	144	7	723	29	62
72330004	"ТОВ ""Пфанер-Бар"""	300	7	723	41	65
72330005	Консервн. з-д Половецький	300	7	723	41	65
72330006	ТОВБарський птахокомбінат	300	7	723	41	65
72333601	"ТОВ ""Агродар-Бар"""	336	7	723	41	65
72401100	СОБСТВ. ПОТРЕБЛ. БРУТТО	11	7	724	10	10
72401200	ПОЛЕЗНЫЙ ОТПУСК	12	7	724	17	17
72401700	ПОТЕРИ В СЕТЯХ	17	7	724	15	15
72401800	ПРОИЗВОДСТВЕННЫЕ НУЖДЫ	18	7	724	16	16
72403200	Освещение,быт.мелкомот.	32	7	724	52	52
72403300	"ДП ""Жмеринкаводоканал"""	33	7	724	50	51
72404000	СІЛЬГОСПСПОЖИВАЧІ	40	7	724	44	44
72404003	"ТОВ ""Жмеринський елеватор"	40	7	724	44	44
72430008	"ТОВ ""Демидівський граніт"""	300	7	724	36	63
72489905	ФО Халабі Акрам	899	7	724	52	52
72501100	Власне споживання	11	7	725	10	10
72501200	Корисний відпуск	12	7	725	17	17
72501600	Власні потеби	16	7	725	16	16
72501700	Втрати в мережах	17	7	725	15	15
72503200	Освітлення	32	7	725	52	52
72504000	Сільгоспспоживачі	40	7	725	44	44
72504016	"ПОСП ""Нападівське"""	40	7	725	44	44
72514500	Калинівський машзавод	145	7	725	29	62
72514502	ФОП  Кулик О.Л.	145	7	725	52	52
72514503	"ПП ""Ларіс"""	145	7	725	29	62
72515001	"ТОВ ""Термінус"" с.Іванів"	150	7	725	43	43
72530000	"ДП ""Укрспирт"""	300	7	725	41	65
72530005	"ПАТ Калин. РП ""Агромаш"""	300	7	725	29	62
72530006	Він. кар'єроуправління	300	7	725	36	63
72530007	"ТОВ ""Голландський корм"""	300	7	725	41	65
72530012	"ТОВ ""Глікохім"""	300	7	725	41	65
